M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15836562511718943,20.027489706709584,-0.9970972947874962,0.05663422436754402,0.05088761497401384,-0.053939735223611285,-0.05373536723112168,-0.9970972947874962,80.02249295573792,1.0,0.0,1.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.1817621724477998,20.033370111727486,-0.9973906275430936,0.05070319698530844,0.0513918466749681,-0.05383699991889013,-0.0480989971717477,-0.9973906275430936,80.0240447770269,1.0,0.0,2.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.18801740495898023,20.038599773681774,-0.9976714945988029,0.04431807492932154,0.05184107540888383,-0.05370836488004049,-0.042035703953936424,-0.9976714945988029,80.0246485820416,1.0,0.0,3.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.17714944695805102,20.042941182022744,-0.9979318508544529,0.03747889181707254,0.0522240722116738,-0.05355902297827564,-0.03554507149828924,-0.9979318508544529,80.02443887986016,1.0,0.0,4.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.1491833590367706,20.046020897166436,-0.9981630643219178,0.030186115345365725,0.052528996409940465,-0.05339472225953845,-0.028626921914624178,-0.9981630643219178,80.02368644143189,1.0,0.0,5.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.10415156451046048,20.047558638685878,-0.9983559220255832,0.0224407177035904,0.05274340854927129,-0.053221764250159675,-0.021281371350267888,-0.9983559220255832,80.02256930096407,1.0,0.0,6.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.042094269621625435,20.047138644371632,-0.9985006387905548,0.014244249328997165,0.052854287393809596,-0.05304700032795051,-0.013508889334821762,-0.9985006387905548,80.0214014913918,1.0,0.0,7.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,-0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,-0.03694012357500989,20.044324388243606,-0.9985868693305625,0.0055989156573470365,0.05284805146879368,-0.052877825809444334,-0.005310361405063362,-0.9985868693305625,80.02051842571717,1.0,0.0,8.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,0.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,-0.13289461277873932,20.038830556791567,-0.9986037240568352,-0.003492343558630004,0.05271058561891584,-0.052722171389684935,0.0033128452691329685,-0.9986037240568352,80.02010502478859,1.0,0.0,9.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,-0.22325061295295862,20.030440608565986,-0.9985467733589314,-0.012435865067218771,0.052437493022613246,-0.05258443831959814,0.011799078823326887,-0.9985467733589314,80.02038705605239,1.0,0.0,10.0
