M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.15836562511718943,20.027489706709584,0.9970972947874962,0.05663422436754402,-0.05088761497401384,-0.053939735223611285,-0.05373536723112168,-0.9970972947874962,80.02249295573792,1.0,0.0,1.0,37.95105230566223,2.1395776558742363,60.0,-0.00047943105812808806,-0.004187818486055914,0.9999911161216326,0.9937913195543403,0.11103792036529886,0.007028045204229616,160.0149472673603,1.0,0.0,1.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.1817621724477998,20.033370111727486,0.9973906275430936,0.05070319698530844,-0.0513918466749681,-0.05383699991889013,-0.0480989971717477,-0.9973906275430936,80.0240447770269,1.0,0.0,2.0,37.943545115181884,1.9103630563394909,60.0,-0.0006223206262090386,-0.004809173418960991,0.9999882422149098,0.9949246404134843,0.10044501710850862,0.005979835798011313,160.01657345560437,1.0,0.0,2.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.18801740495898023,20.038599773681774,0.9976714945988029,0.04431807492932154,-0.05184107540888383,-0.05370836488004049,-0.042035703953936424,-0.9976714945988029,80.0246485820416,1.0,0.0,3.0,37.9374150778816,1.6659259546401688,60.0,-0.0007814306310218733,-0.00497876919346682,0.9999873005311051,0.9960583401148059,0.08856256432401213,0.004945228821055969,160.018395169643,1.0,0.0,3.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.17714944695805102,20.042941182022744,0.9979318508544529,0.03747889181707254,-0.0522240722116738,-0.05355902297827564,-0.03554507149828924,-0.9979318508544529,80.02443887986016,1.0,0.0,4.0,37.93281642838023,1.4063144020802056,60.0,-0.000939995291322604,-0.0046952776554334205,0.9999885353225759,0.9971466531971325,0.07538504174328367,0.003955691990176091,160.0200928614102,1.0,0.0,4.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.1491833590367706,20.046020897166436,0.9981630643219178,0.030186115345365725,-0.052528996409940465,-0.05339472225953845,-0.028626921914624178,-0.9981630643219178,80.02368644143189,1.0,0.0,5.0,37.929929663737845,1.1315634507736112,60.0,-0.0010806390235865715,-0.003958144189681639,0.9999915826215113,0.9981386743191186,0.06090891937459224,0.0030480106777970306,160.0216443297524,1.0,0.0,5.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.10415156451046048,20.047558638685878,0.9983559220255832,0.0224407177035904,-0.05274340854927129,-0.053221764250159675,-0.021281371350267888,-0.9983559220255832,80.02256930096407,1.0,0.0,6.0,37.928970506415844,0.8416922493271061,60.0,-0.001182978874439855,-0.002767698867019941,0.9999954701917224,0.9989784084666061,0.04513339695963969,0.0022618347441787368,160.02277042825003,1.0,0.0,6.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,0.042094269621625435,20.047138644371632,0.9985006387905548,0.014244249328997165,-0.052854287393809596,-0.05304700032795051,-0.013508889334821762,-0.9985006387905548,80.0214014913918,1.0,0.0,7.0,37.93019821143272,0.536698373398354,60.0,-0.0012212328276353102,-0.0011253962613571034,0.9999986210358673,0.9996048664033664,0.028061195676577357,0.0016371804755179742,160.02329613196588,1.0,0.0,7.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-0.03694012357500989,20.044324388243606,0.9985868693305625,0.0055989156573470365,-0.05284805146879368,-0.052877825809444334,-0.005310361405063362,-0.9985868693305625,80.02051842571717,1.0,0.0,8.0,37.933900021718785,0.21655292673460544,60.0,-0.0011678565087827053,0.0009657604443497388,0.99999885170831,0.9999522182272451,0.009699380576383487,0.0012178993581706266,160.0230665693676,1.0,0.0,8.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-0.13289461277873932,20.038830556791567,0.9986037240568352,-0.003492343558630004,-0.05271058561891584,-0.052722171389684935,0.0033128452691329685,-0.9986037240568352,80.02010502478859,1.0,0.0,9.0,37.94037960673394,-0.118804994254288,60.0,-0.0009959924526308228,0.003500948836092055,0.9999933756562001,0.9999500442033837,-0.009939739384457642,0.0010538873850481911,160.0217001280351,1.0,0.0,9.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-0.22325061295295862,20.030440608565986,0.9985467733589314,-0.012435865067218771,-0.052437493022613246,-0.05258443831959814,0.011799078823326887,-0.9985467733589314,80.02038705605239,1.0,0.0,10.0,37.949651709504245,-0.44938049813104175,60.0,-0.0006965406290436738,0.005882507351000384,0.9999824553153009,0.9995740961084585,-0.029159524457278874,0.0011612589649018235,160.01925247632684,1.0,0.0,10.0
