M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.8836053189706945e-07,19.99997584618289,-0.9973753273479957,0.05249344584999135,0.04986877319798744,-0.052493445849991716,-0.04986877319798711,-0.9973753273479957,80.00002444217765,1.0,0.0,1.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.6242808742461534e-07,20.000021629777386,-0.9976821933691371,0.04594589474862107,0.05019179006467511,-0.05220192313200889,-0.04364859969652668,-0.9976821933691371,79.99997865858315,1.0,0.0,2.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.217771097993818e-08,19.999992642779517,-0.997948296662368,0.039392697553781386,0.05047189879641101,-0.05194912500526183,-0.037423062406308966,-0.997948296662368,80.00000764558101,1.0,0.0,3.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,-1.23904204674119e-08,20.000003326588782,-0.9981735718507209,0.03283465664330555,0.05070903057533438,-0.05173511357786942,-0.03119292358627007,-0.9981735718507209,79.99999696177176,1.0,0.0,4.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,-6.127662721677751e-08,19.999996461227717,-0.998357963549028,0.026272576378237347,0.05090312710126699,-0.05155994146574028,-0.0249589473793961,-0.998357963549028,80.00000382713282,1.0,0.0,5.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,-8.448055344167926e-08,20.000029267636858,-0.9985014263979337,0.019707262774855187,0.05105414062751934,-0.05142365176026209,-0.018721899501146014,-0.9985014263979337,79.99997102072366,1.0,0.0,6.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,-8.200255463552963e-08,19.999987305379797,-0.9986039250917802,0.013139523175205715,0.051162033990240774,-0.05132627800180989,-0.012482546926458586,-0.9986039250917802,80.00001298298072,1.0,0.0,7.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,-0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,-5.384231102634196e-08,19.999985015856016,-0.9986654344003218,0.0065701659165690925,0.05122678063127761,-0.05126784415911645,-0.006241657575744448,-0.9986654344003218,80.0000152725045,1.0,0.0,8.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,0.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,-1.981612418563223e-16,20.000022399547074,-0.9986859391842549,-5.207916998242093e-18,0.051248364614520536,-0.051248364614520536,4.947521112663245e-18,-0.9986859391842549,79.99997788881343,1.0,0.0,9.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,5.384231069327505e-08,19.999985015856016,-0.9986654344003218,-0.006570165916569101,0.05122678063127761,-0.05126784415911645,0.006241657575744457,-0.9986654344003218,80.0000152725045,1.0,0.0,10.0
