M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,-10.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.633879085666706e-05,20.00002386700158,-0.9230759744870448,0.3076943403791403,0.23077031486618527,-0.30769434037914045,-0.23077031486618513,-0.9230759744870448,80.00005247178927,1.0,0.0,1.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,-8.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.552713678800501e-15,-7.3051489302145e-08,20.000060418083102,-0.9360369988071154,0.24960986406926758,0.24805171360724354,-0.2979735906908443,-0.18720704077297237,-0.9360369988071154,80.00001592070775,1.0,0.0,2.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,-6.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.555996406565896e-05,20.000039853909087,-0.946371697171099,0.18927483028453984,0.26183133772383416,-0.29022258171042303,-0.14195585179495285,-0.946371697171099,80.00003648488178,1.0,0.0,3.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,-4.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,6.538106969600221e-06,20.000044871673023,-0.9538945567949003,0.12718614879480838,0.27186183636510286,-0.28458044776041413,-0.09538942954826347,-0.9538945567949003,80.00003146711785,1.0,0.0,4.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.090882588236866e-06,20.000070211671087,-0.9584659389726415,0.06389785996389681,0.2779570242345508,-0.2811519176703543,-0.0479233035127465,-0.9584659389726415,80.00000612711978,1.0,0.0,5.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,0.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,-1.9816161861251264e-16,20.00005963963939,-0.959999487002341,-6.341168407052189e-18,0.2800017588431234,-0.28000175884312317,4.7558672288602985e-18,-0.959999487002341,80.00001669915147,1.0,0.0,6.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,-4.090882587348688e-06,20.000070211671087,-0.9584659389726415,-0.06389785996389678,0.2779570242345508,-0.2811519176703543,0.04792330351274648,-0.9584659389726415,80.00000612711978,1.0,0.0,7.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,4.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,-6.538106971376578e-06,20.000044871673023,-0.9538945567949003,-0.12718614879480844,0.27186183636510286,-0.28458044776041413,0.09538942954826352,-0.9538945567949003,80.00003146711785,1.0,0.0,8.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,6.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,-1.5559964067435317e-05,20.000039853909087,-0.946371697171099,-0.1892748302845399,0.26183133772383416,-0.29022258171042303,0.14195585179495288,-0.946371697171099,80.00003648488178,1.0,0.0,9.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,30.0,8.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,3.552713678800501e-15,7.305148752578816e-08,20.000060418083102,-0.9360369988071154,-0.24960986406926763,0.24805171360724354,-0.2979735906908443,0.1872070407729724,-0.9360369988071154,80.00001592070775,1.0,0.0,10.0
