M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,2.450138978460359e-05,19.999925462479293,-0.9606146292505128,-0.15369786995221277,-0.231509176582814,0.20076966153850329,0.19212255743565015,-0.9606146292505128,80.00002873438605,1.0,0.0,120.0,49.999992935741666,7.9999988695573565,60.0,-2.93185110633587e-07,-4.690357879866269e-08,-0.999999999999956,0.9999999999999569,7.362194187621185e-12,-2.93185110633587e-07,160.00004526175607,1.0,0.0,120.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,1.5392959792137617e-05,20.000020346709857,-0.9801634305554295,-0.18669743706731334,-0.06651102460726499,0.02917160879591174,0.19603231019928813,-0.9801634305554295,79.99997939239252,1.0,0.0,76.0,42.0000020297583,8.000000386688223,60.0,3.560979106032036e-07,6.782620345924251e-08,-0.9999999999999345,0.9999999999999367,-1.9435009157575678e-12,3.560979101591144e-07,159.99997331696744,1.0,0.0,76.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-5.71887590901099e-05,19.999984657408096,-0.969976584552959,-0.23094812660206684,-0.07621278264157749,0.0184754204235531,0.2424955345138331,-0.969976584552959,80.00001508169426,1.0,0.0,77.0,41.999995348377695,9.999998893072025,60.0,-7.047943760829511e-07,-1.6782569697837424e-07,-0.9999999999997378,0.9999999999997518,-1.7439272248509496e-11,-7.047943764160181e-07,160.00000109903823,1.0,0.0,77.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,5.750302394602613e-05,19.999987519023108,-0.9680965063638527,0.22002319845716167,-0.11991224502436681,0.0649061304799603,-0.24202551227550737,-0.9680965063638527,80.00001347713146,1.0,0.0,78.0,44.000007318910356,-10.000001662865376,60.0,6.714521222361824e-07,-1.5261905678132237e-07,-0.9999999999997627,0.9999999999997746,-1.69153857587645e-11,6.714521222361824e-07,160.00005469752466,1.0,0.0,78.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-1.5141549807751176e-05,20.000023222467274,-0.9777778462836387,0.17777745375448067,-0.11111102669628503,0.07555560412651086,-0.19555519425984855,-0.9777778462836387,79.99997777368733,1.0,0.0,79.0,44.000006781751715,-8.000001233149854,60.0,6.781669051880712e-07,-1.2329979973135785e-07,-0.9999999999997625,0.9999999999997704,3.386374514136037e-12,6.781669048550043e-07,159.99998329063652,1.0,0.0,79.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,4.258560832859359e-06,20.00000199905207,-0.9854423176849275,0.13437859324262777,-0.10414332524886483,0.0839865224579679,-0.14781644888568987,-0.9854423176849275,79.99999899710248,1.0,0.0,80.0,44.00000635646335,-6.000000866761205,60.0,6.834828295554374e-07,-9.320311505911505e-08,-0.9999999999997622,0.9999999999997666,-8.975598042582078e-13,6.834828290003259e-07,160.0000257374669,1.0,0.0,80.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-9.961545490710932e-07,20.000006545923146,-0.9909909956600859,0.0900900680786399,-0.09909907241855409,0.09009006807864006,-0.09909907241855409,-0.9909909956600859,79.99999445023141,1.0,0.0,81.0,44.000006048590265,-4.000000549871661,60.0,6.873312818900246e-07,-6.248464767821815e-08,-0.9999999999997621,0.999999999999764,2.0067281170099704e-14,6.873312814459354e-07,160.00001664372482,1.0,0.0,81.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,3.237502208541798e-07,20.000031603386642,-0.9943502845005058,0.045197747520957635,-0.0960451733966623,0.0937852857110748,-0.04971752103489495,-0.9943502845005058,79.99996939276798,1.0,0.0,82.0,44.00000586221271,-2.0000002664614844,60.0,6.896612162465843e-07,-3.1348319752544374e-08,-0.9999999999997616,0.9999999999997622,-7.453065942186754e-14,6.89661216135562e-07,159.99996652879798,1.0,0.0,82.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-1.2878871585939281e-16,20.00002093717657,-0.9954751154778945,-2.9137718589177e-18,-0.09502259975538951,0.09502259975538974,3.2051489649888754e-18,-0.9954751154778945,79.999980058978,1.0,0.0,83.0,44.00000579979253,1.5120364901950738e-21,60.0,6.904413772934603e-07,-3.974055716649197e-23,-0.9999999999997621,0.9999999999997622,-4.593760703337492e-23,6.904413765163042e-07,159.99998786121807,1.0,0.0,83.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-3.237502204100906e-07,20.000031603386642,-0.9943502845005058,-0.04519774752095763,-0.0960451733966623,0.0937852857110748,0.049717521034894935,-0.9943502845005058,79.99996939276798,1.0,0.0,84.0,44.00000586221271,2.0000002664614946,60.0,6.896612162465843e-07,3.134831946111083e-08,-0.9999999999997616,0.9999999999997622,7.421147030228781e-14,6.89661216135562e-07,159.99996652879798,1.0,0.0,84.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,9.961545490710932e-07,20.000006545923146,-0.9909909956600859,-0.0900900680786399,-0.09909907241855409,0.09009006807864006,0.09909907241855409,-0.9909909956600859,79.99999445023141,1.0,0.0,85.0,44.00000604859027,4.000000549871706,60.0,6.873312817790023e-07,6.248464640146167e-08,-0.9999999999997621,0.999999999999764,-2.1468937738688965e-14,6.873312812238908e-07,160.00001664372482,1.0,0.0,85.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-4.258560832859359e-06,20.00000199905207,-0.9854423176849275,-0.13437859324262777,-0.10414332524886483,0.0839865224579679,0.14781644888568984,-0.9854423176849275,79.99999899710248,1.0,0.0,86.0,44.00000635646335,6.000000866761288,60.0,6.834828295554374e-07,9.32031127276467e-08,-0.9999999999997622,0.9999999999997666,8.950062913015699e-13,6.834828290003259e-07,160.0000257374669,1.0,0.0,86.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,1.5141549807751176e-05,20.000023222467274,-0.9777778462836387,-0.17777745375448067,-0.11111102669628503,0.07555560412651086,0.19555519425984855,-0.9777778462836387,79.99997777368733,1.0,0.0,87.0,44.00000678175171,8.000001233149833,60.0,6.781669054101158e-07,1.2329980034198051e-07,-0.9999999999997626,0.9999999999997704,-3.385763891472493e-12,6.781669048550043e-07,159.99998329063652,1.0,0.0,87.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,-5.750302394602613e-05,19.999987519023108,-0.9680965063638527,-0.22002319845716167,-0.11991224502436681,0.0649061304799603,0.24202551227550737,-0.9680965063638527,80.00001347713146,1.0,0.0,88.0,44.00000731891035,10.000001662865317,60.0,6.714521225692494e-07,1.526190584466569e-07,-0.999999999999763,0.9999999999997751,1.6917217626755132e-11,6.714521220141378e-07,160.00005469752466,1.0,0.0,88.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,0.0,5.636068807035599e-05,20.000005299913237,-0.9643602882314108,0.2096447224852935,-0.16142591122956185,0.10901443053334958,-0.2410914523945626,-0.9643602882314108,79.99999112692399,1.0,0.0,89.0,45.999999999999986,-9.999999999999998,60.0,1.1102230246251565e-16,-2.7755575615628914e-17,-1.0000000000000002,1.0,-8.326672684688674e-17,-2.220446049250313e-16,159.99998225384797,1.0,0.0,89.0
