x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
38.0,-2.0,60,0,0,-1,1,0,0,0,1,0,1
38.0,-1.75,60,0,0,-1,1,0,0,0,1,0,2
38.0,-1.5,60,0,0,-1,1,0,0,0,1,0,3
38.0,-1.25,60,0,0,-1,1,0,0,0,1,0,4
38.0,-1.0,60,0,0,-1,1,0,0,0,1,0,5
38.0,-0.75,60,0,0,-1,1,0,0,0,1,0,6
38.0,-0.5,60,0,0,-1,1,0,0,0,1,0,7
38.0,-0.25,60,0,0,-1,1,0,0,0,1,0,8
38.0,0.0,60,0,0,-1,1,0,0,0,1,0,9
38.0,0.25,60,0,0,-1,1,0,0,0,1,0,10
38.0,0.5,60,0,0,-1,1,0,0,0,1,0,11
38.0,0.75,60,0,0,-1,1,0,0,0,1,0,12
38.0,1.0,60,0,0,-1,1,0,0,0,1,0,13
38.0,1.25,60,0,0,-1,1,0,0,0,1,0,14
38.0,1.5,60,0,0,-1,1,0,0,0,1,0,15
38.0,1.75,60,0,0,-1,1,0,0,0,1,0,16
38.25,-2.0,60,0,0,-1,1,0,0,0,1,0,17
38.25,-1.75,60,0,0,-1,1,0,0,0,1,0,18
38.25,-1.5,60,0,0,-1,1,0,0,0,1,0,19
38.25,-1.25,60,0,0,-1,1,0,0,0,1,0,20
38.25,-1.0,60,0,0,-1,1,0,0,0,1,0,21
38.25,-0.75,60,0,0,-1,1,0,0,0,1,0,22
38.25,-0.5,60,0,0,-1,1,0,0,0,1,0,23
38.25,-0.25,60,0,0,-1,1,0,0,0,1,0,24
38.25,0.0,60,0,0,-1,1,0,0,0,1,0,25
38.25,0.25,60,0,0,-1,1,0,0,0,1,0,26
38.25,0.5,60,0,0,-1,1,0,0,0,1,0,27
38.25,0.75,60,0,0,-1,1,0,0,0,1,0,28
38.25,1.0,60,0,0,-1,1,0,0,0,1,0,29
38.25,1.25,60,0,0,-1,1,0,0,0,1,0,30
38.25,1.5,60,0,0,-1,1,0,0,0,1,0,31
38.25,1.75,60,0,0,-1,1,0,0,0,1,0,32
38.5,-2.0,60,0,0,-1,1,0,0,0,1,0,33
38.5,-1.75,60,0,0,-1,1,0,0,0,1,0,34
38.5,-1.5,60,0,0,-1,1,0,0,0,1,0,35
38.5,-1.25,60,0,0,-1,1,0,0,0,1,0,36
38.5,-1.0,60,0,0,-1,1,0,0,0,1,0,37
38.5,-0.75,60,0,0,-1,1,0,0,0,1,0,38
38.5,-0.5,60,0,0,-1,1,0,0,0,1,0,39
38.5,-0.25,60,0,0,-1,1,0,0,0,1,0,40
38.5,0.0,60,0,0,-1,1,0,0,0,1,0,41
38.5,0.25,60,0,0,-1,1,0,0,0,1,0,42
38.5,0.5,60,0,0,-1,1,0,0,0,1,0,43
38.5,0.75,60,0,0,-1,1,0,0,0,1,0,44
38.5,1.0,60,0,0,-1,1,0,0,0,1,0,45
38.5,1.25,60,0,0,-1,1,0,0,0,1,0,46
38.5,1.5,60,0,0,-1,1,0,0,0,1,0,47
38.5,1.75,60,0,0,-1,1,0,0,0,1,0,48
38.75,-2.0,60,0,0,-1,1,0,0,0,1,0,49
38.75,-1.75,60,0,0,-1,1,0,0,0,1,0,50
38.75,-1.5,60,0,0,-1,1,0,0,0,1,0,51
38.75,-1.25,60,0,0,-1,1,0,0,0,1,0,52
38.75,-1.0,60,0,0,-1,1,0,0,0,1,0,53
38.75,-0.75,60,0,0,-1,1,0,0,0,1,0,54
38.75,-0.5,60,0,0,-1,1,0,0,0,1,0,55
38.75,-0.25,60,0,0,-1,1,0,0,0,1,0,56
38.75,0.0,60,0,0,-1,1,0,0,0,1,0,57
38.75,0.25,60,0,0,-1,1,0,0,0,1,0,58
38.75,0.5,60,0,0,-1,1,0,0,0,1,0,59
38.75,0.75,60,0,0,-1,1,0,0,0,1,0,60
38.75,1.0,60,0,0,-1,1,0,0,0,1,0,61
38.75,1.25,60,0,0,-1,1,0,0,0,1,0,62
38.75,1.5,60,0,0,-1,1,0,0,0,1,0,63
38.75,1.75,60,0,0,-1,1,0,0,0,1,0,64
39.0,-2.0,60,0,0,-1,1,0,0,0,1,0,65
39.0,-1.75,60,0,0,-1,1,0,0,0,1,0,66
39.0,-1.5,60,0,0,-1,1,0,0,0,1,0,67
39.0,-1.25,60,0,0,-1,1,0,0,0,1,0,68
39.0,-1.0,60,0,0,-1,1,0,0,0,1,0,69
39.0,-0.75,60,0,0,-1,1,0,0,0,1,0,70
39.0,-0.5,60,0,0,-1,1,0,0,0,1,0,71
39.0,-0.25,60,0,0,-1,1,0,0,0,1,0,72
39.0,0.0,60,0,0,-1,1,0,0,0,1,0,73
39.0,0.25,60,0,0,-1,1,0,0,0,1,0,74
39.0,0.5,60,0,0,-1,1,0,0,0,1,0,75
39.0,0.75,60,0,0,-1,1,0,0,0,1,0,76
39.0,1.0,60,0,0,-1,1,0,0,0,1,0,77
39.0,1.25,60,0,0,-1,1,0,0,0,1,0,78
39.0,1.5,60,0,0,-1,1,0,0,0,1,0,79
39.0,1.75,60,0,0,-1,1,0,0,0,1,0,80
39.25,-2.0,60,0,0,-1,1,0,0,0,1,0,81
39.25,-1.75,60,0,0,-1,1,0,0,0,1,0,82
39.25,-1.5,60,0,0,-1,1,0,0,0,1,0,83
39.25,-1.25,60,0,0,-1,1,0,0,0,1,0,84
39.25,-1.0,60,0,0,-1,1,0,0,0,1,0,85
39.25,-0.75,60,0,0,-1,1,0,0,0,1,0,86
39.25,-0.5,60,0,0,-1,1,0,0,0,1,0,87
39.25,-0.25,60,0,0,-1,1,0,0,0,1,0,88
39.25,0.0,60,0,0,-1,1,0,0,0,1,0,89
39.25,0.25,60,0,0,-1,1,0,0,0,1,0,90
39.25,0.5,60,0,0,-1,1,0,0,0,1,0,91
39.25,0.75,60,0,0,-1,1,0,0,0,1,0,92
39.25,1.0,60,0,0,-1,1,0,0,0,1,0,93
39.25,1.25,60,0,0,-1,1,0,0,0,1,0,94
39.25,1.5,60,0,0,-1,1,0,0,0,1,0,95
39.25,1.75,60,0,0,-1,1,0,0,0,1,0,96
39.5,-2.0,60,0,0,-1,1,0,0,0,1,0,97
39.5,-1.75,60,0,0,-1,1,0,0,0,1,0,98
39.5,-1.5,60,0,0,-1,1,0,0,0,1,0,99
39.5,-1.25,60,0,0,-1,1,0,0,0,1,0,100
39.5,-1.0,60,0,0,-1,1,0,0,0,1,0,101
39.5,-0.75,60,0,0,-1,1,0,0,0,1,0,102
39.5,-0.5,60,0,0,-1,1,0,0,0,1,0,103
39.5,-0.25,60,0,0,-1,1,0,0,0,1,0,104
39.5,0.0,60,0,0,-1,1,0,0,0,1,0,105
39.5,0.25,60,0,0,-1,1,0,0,0,1,0,106
39.5,0.5,60,0,0,-1,1,0,0,0,1,0,107
39.5,0.75,60,0,0,-1,1,0,0,0,1,0,108
39.5,1.0,60,0,0,-1,1,0,0,0,1,0,109
39.5,1.25,60,0,0,-1,1,0,0,0,1,0,110
39.5,1.5,60,0,0,-1,1,0,0,0,1,0,111
39.5,1.75,60,0,0,-1,1,0,0,0,1,0,112
39.75,-2.0,60,0,0,-1,1,0,0,0,1,0,113
39.75,-1.75,60,0,0,-1,1,0,0,0,1,0,114
39.75,-1.5,60,0,0,-1,1,0,0,0,1,0,115
39.75,-1.25,60,0,0,-1,1,0,0,0,1,0,116
39.75,-1.0,60,0,0,-1,1,0,0,0,1,0,117
39.75,-0.75,60,0,0,-1,1,0,0,0,1,0,118
39.75,-0.5,60,0,0,-1,1,0,0,0,1,0,119
39.75,-0.25,60,0,0,-1,1,0,0,0,1,0,120
