x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
30.0,-10.0,60,0,0,-1,1,0,0,0,1,0,1
30.0,-9.75,60,0,0,-1,1,0,0,0,1,0,2
30.0,-9.5,60,0,0,-1,1,0,0,0,1,0,3
30.0,-9.25,60,0,0,-1,1,0,0,0,1,0,4
30.0,-9.0,60,0,0,-1,1,0,0,0,1,0,5
30.0,-8.75,60,0,0,-1,1,0,0,0,1,0,6
30.0,-8.5,60,0,0,-1,1,0,0,0,1,0,7
30.0,-8.25,60,0,0,-1,1,0,0,0,1,0,8
30.0,-8.0,60,0,0,-1,1,0,0,0,1,0,9
30.0,-7.75,60,0,0,-1,1,0,0,0,1,0,10
30.0,-7.5,60,0,0,-1,1,0,0,0,1,0,11
30.0,-7.25,60,0,0,-1,1,0,0,0,1,0,12
30.0,-7.0,60,0,0,-1,1,0,0,0,1,0,13
30.0,-6.75,60,0,0,-1,1,0,0,0,1,0,14
30.0,-6.5,60,0,0,-1,1,0,0,0,1,0,15
30.0,-6.25,60,0,0,-1,1,0,0,0,1,0,16
30.0,-6.0,60,0,0,-1,1,0,0,0,1,0,17
30.0,-5.75,60,0,0,-1,1,0,0,0,1,0,18
30.0,-5.5,60,0,0,-1,1,0,0,0,1,0,19
30.0,-5.25,60,0,0,-1,1,0,0,0,1,0,20
30.0,-5.0,60,0,0,-1,1,0,0,0,1,0,21
30.0,-4.75,60,0,0,-1,1,0,0,0,1,0,22
30.0,-4.5,60,0,0,-1,1,0,0,0,1,0,23
30.0,-4.25,60,0,0,-1,1,0,0,0,1,0,24
30.0,-4.0,60,0,0,-1,1,0,0,0,1,0,25
30.0,-3.75,60,0,0,-1,1,0,0,0,1,0,26
30.0,-3.5,60,0,0,-1,1,0,0,0,1,0,27
30.0,-3.25,60,0,0,-1,1,0,0,0,1,0,28
30.0,-3.0,60,0,0,-1,1,0,0,0,1,0,29
30.0,-2.75,60,0,0,-1,1,0,0,0,1,0,30
30.0,-2.5,60,0,0,-1,1,0,0,0,1,0,31
30.0,-2.25,60,0,0,-1,1,0,0,0,1,0,32
